Type_code,Type,amount,nameOrig,oldbalanceOrg,newbalanceOrg,nameDest,oldbalanceDest,newbalanceDest,isFraud
1,TRANSFER,181,C1305486145,181,0,C553264065,0,181,1
1,TRANSFER,2806,C1420196421,2806,0,C972765878,0,2806,1
1,TRANSFER,20128,C137533655,20128,0,C1848415041,0,20128,1
1,TRANSFER,1277212.77,C1334405552,1277212.77,0,C431687661,0,1277212.77,1
1,TRANSFER,62610.8,C1976401987,79114,16503.2,C1937962514,517,63127.8,0
1,TRANSFER,3307.04,C1494346128,103657,100349.96,C564160838,79676,82938.04,0
1,TRANSFER,290,C722417467,67950.24,67660.24,C451111351,171866,172156,0
1,TRANSFER,17765.91,C753631393,23720,5954.09,C716157500,55,17820.91,0
2,PAYMENT,9839.64,C1231006815,9839.64,0,M1979787155,0,9839.64,1
2,PAYMENT,1864.28,C1666544295,1864.28,0,M2044282225,0,1864.28,1
2,PAYMENT,11668.14,C2048537720,11668.14,0,M1230701703,0,11668.14,1
2,PAYMENT,7817.71,C90045638,53860,46042.29,C573487274,0,7817.71,1
2,PAYMENT,7817.71,C90045639,46042.29,38224.58,C573489275,0,7817.71,1
2,PAYMENT,7817.71,C90045640,38224.58,30406.87,C577987276,0,7817.71,1
2,PAYMENT,4316.2,C1423768154,10999,6682.8,M404222443,67799.95,72116.15,0
2,PAYMENT,2131.84,C1987977423,5885.5,3753.66,M61073295,8766.9,10898.74,0
2,PAYMENT,12986.61,C807322507,23350,10363.39,M396485834,10764.33,23660.94,0
2,PAYMENT,2875.1,C1412322831,15443,12567.9,M1651262695,88076.5,90951.6,0
1,TRANSFER,5337.77,C712410124,41720,36382.23,C195600860,41898,40348.79,0
1,TRANSFER,2806,C1420196421,14050,11244,C972765878,0,2806,1
1,TRANSFER,2806,C1420196421,11244,8438,C1421965867,0,2806,1
1,TRANSFER,2806,C1420196421,8438,5632,C1440057381,0,2806,1
1,TRANSFER,2806,C1420196421,5632,2826,C1452168793,0,2806,1
1,TRANSFER,2806,C1420196421,2826,20,C1455969984,0,2806,1
1,TRANSFER,3285.58,C48996791,1732193.03,1728907.45,C1025031603,155947.71,1507.65,0
1,TRANSFER,533650.65,C788330405,1728907.45,1195256.81,C1089993541,690630.15,1741771.65,0
1,TRANSFER,43608.91,C279601028,1195256.81,1151647.9,C1973191571,166164.55,127424.27,0
1,TRANSFER,264050.1,C1451390594,1151647.9,887597.79,C1010306008,338952.5,1120683.69,0
1,TRANSFER,2633.88,C1011800463,81915,79281.12,C981765041,58995,61628.88,1
1,TRANSFER,2633.88,C1011800463,79281.12,76647.24,C981765042,0,2633.88,1
1,TRANSFER,3590,C1011800464,76647.24,73057.24,C981765043,0,3590,1
1,TRANSFER,3590,C1011800465,73057.24,69467.24,C981766144,0,3590,1
1,TRANSFER,3590,C1011800466,69467.24,65877.24,C981761045,0,3590,1
2,PAYMENT,401.31,C1828952982,10131,9729.69,C2046578329,155664.06,156065.37,0
2,PAYMENT,2775.48,C133012969,9629,6853.52,C214974969,307964.72,310740.2,0
2,PAYMENT,3529.58,C1730592458,161,0,C1869400026,61464.3,19086.6,0
2,PAYMENT,5153.59,C281746992,103115,97961.41,C1465813088,313421.36,318574.94,0
2,PAYMENT,2049.48,C68476112,13498,11448.52,C1070146065,455376.7,457426.18,0
2,PAYMENT,4586.83,C2077944861,29695,25108.17,C1937294500,888539.79,893126.62,0
2,PAYMENT,2333.91,C700232189,853587.78,851253.87,C2112826959,2256385.55,2258719.46,0
2,PAYMENT,1129.98,C522041440,151,0,C123366619,498729.52,499859.5,0
2,PAYMENT,45.93,C71243765,12292,12246.07,C1545523026,64367.38,64413.31,0
